Scenario.name,css_2,css_3,css_4,right_bica,right_brita2,tph_2,tph_3,tph_4,tph_bica,tph_brita2,tph_brita1,tph_bmeia,tph_pedrisco,tph_po,percAbaixo32mm_rcz,efic_2dPN4,percAbaixo5mm_pedrisco,capC2_capC3,capBT4_alimPP4,RR_BT2,fcap_BT2,RR_BT3,fcap_BT3,RR_BT4,fcap_BT4,carga_BT2,carga_BT3,carga_BT4,tph_total
Scenario 0062,30,15,17,0,100,478.3940744,487.4236316,129.3628018,80.9,102.5,116.3,33.1,108.8,167.4,59.42620876,83.91159612,20.16778171,0.981474929,1.462761032,4.518258816,1.088248617,3.804857013,0.862959706,2.543814105,0.902814873,99.99997753,100.0000614,99.96057945,609
Scenario 0063,30,15,17,100,0,478.3940744,580.1984828,130.0369836,0,0,142.7,38.3,125.4,175.6,66.25991085,82.28963185,20.92465924,0.824535204,0.570169019,4.518258816,1.088248617,3.681505697,0.864708804,1.757324698,0.907539072,99.99997753,99.99982656,99.95847279,482
Scenario 0064,30,15,17,100,100,478.3940744,580.1984828,129.4656434,0,123.5,136.7,38.6,128.9,181.2,66.25991085,82.1339491,21.34458117,0.824535204,1.288070871,4.518258816,1.088248617,3.681505697,0.864708804,2.373394899,0.903534374,99.99997753,99.99982656,99.96038294,608.9
Scenario 0065,30,17,10,0,0,478.3940744,530.3168213,81.61679906,80.9,0,92.7,30.8,116.8,170.5,59.42620876,83.23333992,20.12849521,0.902091081,0.406405996,4.518258816,1.088248617,3.149389858,0.862959706,3.653744886,0.906782035,99.99997753,100.0000444,99.99986159,491.7
Scenario 0066,30,17,10,0,100,478.3940744,530.3168213,80.89190088,80.9,96.2,92.3,30.5,115.8,171.6,59.42620876,83.3304287,20.31380766,0.902091081,0.774022675,4.518258816,1.088248617,3.149389858,0.862959706,5.129942152,0.89872801,99.99997753,100.0000444,99.99988764,587.3
Scenario 0067,30,17,10,100,0,478.3940744,631.2509531,80.58707178,0,0,114.6,36.7,138.5,185.3,66.25991085,81.38069223,21.42214374,0.757850855,0.340772317,4.518258816,1.088248617,3.047640021,0.864708804,3.565102822,0.895341188,99.99997753,99.99903509,99.99989871,475.1
Scenario 0068,30,17,10,100,100,478.3940744,631.2509531,80.23936367,0,118.8,114.2,36.4,137.7,186.5,66.25991085,81.46537632,21.59158982,0.757850855,0.68256652,4.518258816,1.088248617,3.047640021,0.864708804,4.877788838,0.89147799,99.99997753,99.9990351,99.99990766,593.6
Scenario 0069,30,17,11,0,0,478.3940744,530.3168213,91.19150441,80.9,0,96.6,32.7,118.3,171.9,59.42620876,83.22634385,20.06833601,0.902091081,0.451889869,4.518258816,1.088248617,3.149389858,0.862959706,3.367893511,0.911850742,99.99997753,100.0000444,99.99905188,500.4
Scenario 0070,30,17,11,0,100,478.3940744,530.3168213,90.229823,80.9,97,95.8,32.2,117.5,173.3,59.42620876,83.31103149,20.29029706,0.902091081,0.862591699,4.518258816,1.088248617,3.149389858,0.862959706,4.755160323,0.902233248,99.99997753,100.0000444,99.99920239,596.7
Scenario 0071,30,17,11,100,0,478.3940744,631.2509531,90.25018145,0,0,118.5,38.6,140.1,186.7,66.25991085,81.3759604,21.36925338,0.757850855,0.380062088,4.518258816,1.088248617,3.047640021,0.864708804,3.285937336,0.902436876,99.99997753,99.99903509,99.99919597,483.9
Scenario 0072,30,17,11,100,100,478.3940744,631.2509531,89.77404063,0,119.6,117.7,38.1,139.5,188.2,66.25991085,81.44870999,21.5727605,0.757850855,0.763054808,4.518258816,1.088248617,3.047640021,0.864708804,4.520214247,0.897675237,99.99997753,99.9990351,99.9992598,603.1
Scenario 0073,30,17,12,0,0,478.3940744,530.3168213,100.5145686,80.9,0,102.1,34.3,118.4,172.3,59.42620876,83.287316,20.03851566,0.902091081,0.493788936,4.518258816,1.088248617,3.149389858,0.862959706,2.97983008,0.913726604,99.99997753,100.0000444,99.99661883,508
Scenario 0074,30,17,12,0,100,478.3940744,530.3168213,99.25081238,80.9,98.3,100.5,33.7,117.9,174.2,59.42620876,83.3478515,20.3015553,0.902091081,0.947293249,4.518258816,1.088248617,3.149389858,0.862959706,4.272396287,0.902233248,99.99997753,100.0000444,99.99719448,605.5
Scenario 0075,30,17,12,100,0,478.3940744,631.2509531,100.1679469,0,0,124.1,40.2,140.4,187.3,66.25991085,81.42236888,21.34785903,0.757850855,0.418683656,4.518258816,1.088248617,3.047640021,0.864708804,2.905830865,0.910574069,99.99997753,99.99903509,99.99679172,492
Scenario 0076,30,17,12,100,100,478.3940744,631.2509531,99.25081238,0,120.9,122.5,39.6,140.1,189.3,66.25991085,81.47823308,21.58641159,0.757850855,0.842368982,4.518258816,1.088248617,3.047640021,0.864708804,4.05743866,0.902233248,99.99997753,99.9990351,99.99719448,612.4
Scenario 0077,30,17,13,0,0,478.3940744,530.3168213,109.9925797,80.9,0,108.6,35.6,117.8,172.2,59.42620876,83.38956992,19.99974573,0.902091081,0.534300628,4.518258816,1.088248617,3.149389858,0.862959706,2.683401939,0.916616913,99.99997753,100.0000444,99.99068261,515.1
Scenario 0078,30,17,13,0,100,478.3940744,530.3168213,108.2686125,80.9,99.9,106,34.9,117.8,174.7,59.42620876,83.41888195,20.30715694,0.902091081,1.031206921,4.518258816,1.088248617,3.149389858,0.862959706,3.865132722,0.902233248,99.99997753,100.0000444,99.99257579,614.2
Scenario 0079,30,17,13,100,0,478.3940744,631.2509531,109.6326611,0,0,130.6,41.5,139.8,187.2,66.25991085,81.51961748,21.31014429,0.757850855,0.453844895,4.518258816,1.088248617,3.047640021,0.864708804,2.618406288,0.913612812,99.99997753,99.99903509,99.99120136,499.1
Scenario 0080,30,17,13,100,100,478.3940744,631.2509531,108.2686125,0,122.6,128.1,40.9,139.9,189.8,66.25991085,81.54888784,21.5873312,0.757850855,0.917181512,4.518258816,1.088248617,3.047640021,0.864708804,3.670726509,0.902233248,99.99997753,99.9990351,99.99257577,621.3
Scenario 0081,30,17,14,0,0,478.3940744,530.3168213,116.4652766,80.9,0,115.1,36.3,115.8,171.1,59.42620876,83.56840718,19.92903094,0.902091081,0.558953852,4.518258816,1.088248617,3.149389858,0.862959706,2.479924398,0.919541929,99.99997753,100.0000444,99.9833863,519.2
Scenario 0082,30,17,14,0,100,478.3940744,530.3168213,114.2773971,80.9,101.7,111.3,35.6,116.3,174.2,59.42620876,83.55945297,20.27480483,0.902091081,1.085988184,4.518258816,1.088248617,3.149389858,0.862959706,3.583332281,0.902233248,99.99997753,100.0000444,99.98720503,620
Scenario 0083,30,17,14,100,0,478.3940744,631.2509531,116.0002203,0,0,137.1,42.2,137.7,186.1,66.25991085,81.68506732,21.24281427,0.757850855,0.475283247,4.518258816,1.088248617,3.047640021,0.864708804,2.4214217,0.915860572,99.99997753,99.99903509,99.98442818,503.1
Scenario 0084,30,17,14,100,100,478.3940744,631.2509531,114.2773971,0,124.4,133.4,41.6,138.4,189.2,66.25991085,81.68045006,21.5537302,0.757850855,0.966124333,4.518258816,1.088248617,3.047640021,0.864708804,3.40355721,0.902233248,99.99997753,99.9990351,99.98720499,627
Scenario 0085,30,17,15,0,0,478.3940744,530.3168213,122.8522085,80.9,0,120.5,36,114.1,170.1,59.42620876,83.69248473,19.91458156,0.902091081,0.578651374,4.518258816,1.088248617,3.149389858,0.862959706,2.217557966,0.921568702,99.99997753,100.0000444,99.97278074,521.6
Scenario 0086,30,17,15,0,100,478.3940744,530.3168213,120.2824877,80.9,104.3,115.6,35.5,115.3,173.8,59.42620876,83.64178739,20.29508545,0.902091081,1.137177286,4.518258816,1.088248617,3.149389858,0.862959706,3.305903618,0.902233248,99.99997753,100.0000444,99.97930093,625.4
Scenario 0087,30,17,15,100,0,478.3940744,631.2509531,122.2783082,0,0,142.5,41.8,135.9,185.1,66.25991085,81.79959476,21.2270081,0.757850855,0.492987614,4.518258816,1.088248617,3.047640021,0.864708804,2.164568019,0.917246954,99.99997753,99.99903509,99.97459754,505.3
Scenario 0088,30,17,15,100,100,478.3940744,631.2509531,120.2824876,0,127,137.8,41.5,137.3,188.8,66.25991085,81.75842373,21.56867872,0.757850855,1.012129774,4.518258816,1.088248617,3.047640021,0.864708804,3.133371315,0.902233248,99.99997753,99.9990351,99.97930082,632.4
Scenario 0089,30,17,16,0,0,478.3940744,530.3168213,129.1014357,80.9,0,125.3,35.2,112,168.8,59.42620876,83.82791802,19.90139388,0.902091081,0.592331236,4.518258816,1.088248617,3.149389858,0.862959706,2.006883769,0.922462241,99.99997753,100.0000444,99.95849201,522.2
